"자치구별","범죄별","항목","단위","2008. 01 월","2008. 02 월","2008. 03 월","2008. 04 월","2008. 05 월","2008. 06 월","2008. 07 월","2008. 08 월","2008. 09 월","2008. 10 월","2008. 11 월","2008. 12 월","2009. 01 월","2009. 02 월","2009. 03 월","2009. 04 월","2009. 05 월","2009. 06 월","2009. 07 월","2009. 08 월","2009. 09 월","2009. 10 월","2009. 11 월","2009. 12 월","2010. 01 월","2010. 02 월","2010. 03 월","2010. 04 월","2010. 05 월","2010. 06 월","2010. 07 월","2010. 08 월","2010. 09 월","2010. 10 월","2010. 11 월","2010. 12 월","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2021 년",
"합계","합계","발생","","7663","6503","8418","8990","9232","10329","9804","8754","10134","9950","8607","9387","7307","7271","9863","9618","11473","11386","11525","9377","11016","9577","9007","8332","6843","6861","9258","9721","11565","11378","11168","11955","11354","11518","11259","11567","9514","9779","14296","9905","11068","11042","12628","12071","10858","10930","10667","10181","9299","8382","9621","10911","12357","12370","13730","13371","11847","13204","11597","11036","10209","8897","9620","10790","11572","12209","12826","12035","11724","12343","10457","10284","80445",
"합계","합계","검거","","6761","5564","7491","7957","7894","8866","8541","7469","8791","8570","7148","7939","6376","6180","8165","8699","10292","9946","9280","8841","10024","8767","7826","7543","6234","6154","8795","8703","8637","8028","7583","8063","8281","7807","7371","7051","5986","5573","7383","7075","7791","7730","7713","8396","7641","7124","6748","6340","5834","5623","6325","7021","7597","7361","7836","7717","7240","7674","6432","5918","5793","4819","6057","6867","7151","6815","7946","7215","6897","7587","6394","5804","58012",
"합계","살인","발생","","19","9","14","19","23","19","15","19","22","18","19","25","18","11","18","16","29","25","20","34","21","22","20","16","12","15","28","24","25","29","30","23","27","29","26","26","22","16","28","16","29","27","17","25","21","16","22","19","15","15","11","19","16","15","22","17","10","14","16","9","15","13","9","12","15","9","15","16","12","16","13","7","124",
"합계","살인","검거","","18","9","10","20","23","18","16","18","23","17","21","28","16","10","18","19","29","21","20","35","21","23","20","14","10","14","27","27","22","31","31","23","27","29","22","22","21","17","21","17","28","25","11","23","23","17","21","18","14","15","12","19","14","17","21","15","10","16","17","9","13","11","10","12","16","6","13","18","10","16","15","6","112",
"합계","강도","발생","","49","43","78","102","79","95","90","69","90","92","73","88","93","66","121","128","288","127","150","104","132","129","97","75","53","79","68","104","102","85","93","78","97","106","84","80","75","93","113","77","65","61","101","101","68","68","47","87","43","46","44","59","56","36","50","74","43","38","39","42","38","39","45","52","33","35","25","36","22","32","29","34","122",
"합계","강도","검거","","49","36","75","88","71","80","74","54","78","78","62","73","77","49","92","111","295","113","144","99","151","134","87","80","53","66","73","94","81","70","77","71","101","90","73","71","53","59","84","80","60","56","72","86","64","56","44","75","36","38","30","47","52","31","41","60","29","32","33","30","26","26","31","34","36","28","20","32","21","31","24","25","116",
"합계","강간·강제추행","발생","","191","184","262","276","297","364","331","327","342","313","257","277","214","205","279","281","340","378","363","371","351","342","306","328","222","249","395","399","471","449","443","510","496","450","403","452","325","355","500","381","494","507","569","528","437","423","400","333","279","297","309","380","467","479","595","480","480","458","381","303","308","271","364","448","487","554","590","537","485","589","346","408","4911",
"합계","강간·강제추행","검거","","186","182","255","262","290","348","331","299","319","303","226","273","208","202","266","270","331","360","364","365","358","341","296","323","219","252","389","399","446","416","416","463","436","400","338","394","284","311","428","381","455","467","460","481","407","383","352","273","258","279","265","319","402","374","473","403","417","409","300","233","257","220","314","406","395","456","500","488","404","525","321","282","4446",
"합계","절도","발생","","1870","1733","2374","2513","2406","2893","2577","2316","2701","2620","2387","2504","1901","1870","2913","2662","3767","3397","4122","3324","4395","3458","2973","2385","1773","2218","3252","3720","4950","4744","4693","5014","4574","4830","4728","4891","3816","4426","7441","4052","4306","4317","4609","4687","4297","4336","4121","4004","3727","3341","3839","4601","5392","5494","6288","6287","5328","6131","5602","5406","4858","4382","4266","4915","5203","5871","5830","5650","5602","5690","4702","4616","33531",
"합계","절도","검거","","1166","996","1687","1744","1375","1696","1626","1310","1685","1532","1336","1450","1221","1037","1573","2056","2906","2317","2193","2911","3704","2853","2183","1823","1306","1689","2972","3002","2903","2391","2008","2102","2414","2130","1894","1562","1244","1438","1954","1883","1934","1905","1720","2076","1788","1477","1367","1303","1179","1384","1446","1760","1817","1653","1733","1848","1753","1716","1501","1408","1373","1162","1545","1899","1804","1672","2102","1822","1800","1995","1566","1282","17950",
"합계","폭력","발생","","5534","4534","5690","6080","6427","6958","6791","6023","6979","6907","5871","6493","5081","5119","6532","6531","7049","7459","6870","5544","6117","5626","5611","5528","4783","4300","5515","5474","6017","6071","5909","6330","6160","6103","6018","6118","5276","4889","6214","5379","6174","6130","7332","6730","6035","6087","6077","5738","5235","4683","5418","5852","6426","6346","6775","6513","5986","6563","5559","5276","4990","4192","4936","5363","5834","5740","6366","5796","5603","6016","5367","5219","41757",
"합계","폭력","검거","","5342","4341","5464","5843","6135","6724","6494","5788","6686","6640","5503","6115","4854","4882","6216","6243","6731","7135","6559","5431","5790","5416","5240","5303","4646","4133","5334","5181","5185","5120","5051","5404","5303","5158","5044","5002","4384","3748","4896","4714","5314","5277","5450","5730","5359","5191","4964","4671","4347","3907","4572","4876","5312","5286","5568","5391","5031","5501","4581","4238","4124","3400","4157","4516","4900","4653","5311","4855","4662","5020","4468","4209","35388",
"종로구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2712",
"종로구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2755",
"종로구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6",
"종로구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3",
"종로구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"종로구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"종로구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156",
"종로구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","757",
"종로구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1079",
"종로구","절도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","743",
"종로구","폭력","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1467",
"종로구","폭력","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1248",
"중구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2861",
"중구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2072",
"중구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6",
"중구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6",
"중구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6",
"중구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6",
"중구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161",
"중구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97",
"중구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1279",
"중구","절도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","739",
"중구","폭력","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1409",
"중구","폭력","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1224",
"용산구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2381",
"용산구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1659",
"용산구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3",
"용산구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2",
"용산구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",
"용산구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",
"용산구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141",
"용산구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103",
"용산구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","945",
"용산구","절도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","484",
"용산구","폭력","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1291",
"용산구","폭력","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1069",
"성동구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2112",
"성동구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510",
"성동구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3",
"성동구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"성동구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"성동구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1",
"성동구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110",
"성동구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82",
"성동구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","905",
"성동구","절도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","497",
"성동구","폭력","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090",
"성동구","폭력","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","926",
"광진구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3087",
"광진구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2202",
"광진구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5",
"광진구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3",
"광진구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"광진구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"광진구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","208",
"광진구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161",
"광진구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1414",
"광진구","절도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","754",
"광진구","폭력","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1456",
"광진구","폭력","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280",
"동대문구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2959",
"동대문구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2113",
"동대문구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3",
"동대문구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"동대문구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7",
"동대문구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8",
"동대문구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169",
"동대문구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147",
"동대문구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1240",
"동대문구","절도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","659",
"동대문구","폭력","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540",
"동대문구","폭력","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1295",
"중랑구","합계","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3210",
"중랑구","합계","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2405",
"중랑구","살인","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"중랑구","살인","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4",
"중랑구","강도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6",
"중랑구","강도","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7",
"중랑구","강간·강제추행","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141",
"중랑구","강간·강제추행","검거","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117",
"중랑구","절도","발생","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399",
